tip_name,genus,ncbi_genus_id,ncbi_family_id,ncbi_family_name,superfamily,subsection,infraorder,suborder
Phaonia_253431,Phaonia,253431,7366,Muscidae,Muscoidea,NA,Muscomorpha,Brachycera
Morellia_253340,Morellia,253340,7366,Muscidae,Muscoidea,NA,Muscomorpha,Brachycera
Musca_7369,Musca,7369,7366,Muscidae,Muscoidea,NA,Muscomorpha,Brachycera
Philornis_253427,Philornis,253427,7366,Muscidae,Muscoidea,NA,Muscomorpha,Brachycera
Passeromyia_1511687,Passeromyia,1511687,7366,Muscidae,Muscoidea,NA,Muscomorpha,Brachycera
Myospila_520040,Myospila,520040,7366,Muscidae,Muscoidea,NA,Muscomorpha,Brachycera
Eginia_1511678,Eginia,1511678,7366,Muscidae,Muscoidea,NA,Muscomorpha,Brachycera
Haematobosca_559680,Haematobosca,559680,7366,Muscidae,Muscoidea,NA,Muscomorpha,Brachycera
Graphomya_1072499,Graphomya,1072499,7366,Muscidae,Muscoidea,NA,Muscomorpha,Brachycera
Limnophora_307207,Limnophora,307207,7366,Muscidae,Muscoidea,NA,Muscomorpha,Brachycera
Potamia_559704,Potamia,559704,7366,Muscidae,Muscoidea,NA,Muscomorpha,Brachycera
Mesembrina_116147,Mesembrina,116147,7366,Muscidae,Muscoidea,NA,Muscomorpha,Brachycera
Polietes_559702,Polietes,559702,7366,Muscidae,Muscoidea,NA,Muscomorpha,Brachycera
Hebecnema_559682,Hebecnema,559682,7366,Muscidae,Muscoidea,NA,Muscomorpha,Brachycera
Atherigona_305597,Atherigona,305597,7366,Muscidae,Muscoidea,NA,Muscomorpha,Brachycera
Neomyia_305607,Neomyia,305607,7366,Muscidae,Muscoidea,NA,Muscomorpha,Brachycera
Muscina_57892,Muscina,57892,7366,Muscidae,Muscoidea,NA,Muscomorpha,Brachycera
Orthacheta_113181,Orthacheta,113181,43756,Scathophagidae,Muscoidea,NA,Muscomorpha,Brachycera
Scathophaga_95462,Scathophaga,95462,43756,Scathophagidae,Muscoidea,NA,Muscomorpha,Brachycera
Cleigastra_113167,Cleigastra,113167,43756,Scathophagidae,Muscoidea,NA,Muscomorpha,Brachycera
Cordilura_113132,Cordilura,113132,43756,Scathophagidae,Muscoidea,NA,Muscomorpha,Brachycera
Hydromyza_113174,Hydromyza,113174,43756,Scathophagidae,Muscoidea,NA,Muscomorpha,Brachycera
Norellia_113119,Norellia,113119,43756,Scathophagidae,Muscoidea,NA,Muscomorpha,Brachycera
Mimegralla_115300,Mimegralla,115300,115293,Micropezidae,Nerioidea,NA,Muscomorpha,Brachycera
Micropeza_1572561,Micropeza,1572561,115293,Micropezidae,Nerioidea,NA,Muscomorpha,Brachycera
Compsobata_286452,Compsobata,286452,115293,Micropezidae,Nerioidea,NA,Muscomorpha,Brachycera
Calobata_1820059,Calobata,1820059,115293,Micropezidae,Nerioidea,NA,Muscomorpha,Brachycera
Odontoloxozus_588320,Odontoloxozus,588320,115298,Neriidae,Nerioidea,NA,Muscomorpha,Brachycera
Telostylinus_1262347,Telostylinus,1262347,115298,Neriidae,Nerioidea,NA,Muscomorpha,Brachycera
Compsomyiops_142897,Compsomyiops,142897,7371,Calliphoridae,Oestroidea,NA,Muscomorpha,Brachycera
Lucilia_7374,Lucilia,7374,7371,Calliphoridae,Oestroidea,NA,Muscomorpha,Brachycera
Paralucilia_1042205,Paralucilia,1042205,7371,Calliphoridae,Oestroidea,NA,Muscomorpha,Brachycera
Trypocalliphora_1042207,Trypocalliphora,1042207,7371,Calliphoridae,Oestroidea,NA,Muscomorpha,Brachycera
Cordylobia_226131,Cordylobia,226131,7371,Calliphoridae,Oestroidea,NA,Muscomorpha,Brachycera
Calliphora_7372,Calliphora,7372,7371,Calliphoridae,Oestroidea,NA,Muscomorpha,Brachycera
Chrysomya_45449,Chrysomya,45449,7371,Calliphoridae,Oestroidea,NA,Muscomorpha,Brachycera
Protocalliphora_142901,Protocalliphora,142901,7371,Calliphoridae,Oestroidea,NA,Muscomorpha,Brachycera
Auchmeromyia_226129,Auchmeromyia,226129,7371,Calliphoridae,Oestroidea,NA,Muscomorpha,Brachycera
Hemilucilia_416848,Hemilucilia,416848,7371,Calliphoridae,Oestroidea,NA,Muscomorpha,Brachycera
Sarconesia_670650,Sarconesia,670650,7371,Calliphoridae,Oestroidea,NA,Muscomorpha,Brachycera
Amenia_2086281,Amenia,2086281,7371,Calliphoridae,Oestroidea,NA,Muscomorpha,Brachycera
Melinda_170907,Melinda,170907,7371,Calliphoridae,Oestroidea,NA,Muscomorpha,Brachycera
Hemigymnochaeta_1240433,Hemigymnochaeta,1240433,7371,Calliphoridae,Oestroidea,NA,Muscomorpha,Brachycera
Laneella_1658054,Laneella,1658054,7371,Mesembrinellidae,Oestroidea,NA,Muscomorpha,Brachycera
Eumesembrinella_672472,Mesembrinella,672472,7371,Mesembrinellidae,Oestroidea,NA,Muscomorpha,Brachycera
Mesembrinella_460529,Mesembrinella,460529,7371,Mesembrinellidae,Oestroidea,NA,Muscomorpha,Brachycera
Huascaromusca_1609532,Mesembrinella,1609532,7371,Mesembrinellidae,Oestroidea,NA,Muscomorpha,Brachycera
Mystacinobia_81694,Mystacinobia,81694,43757,Mystacinobiidae,Oestroidea,NA,Muscomorpha,Brachycera
Oestrus_123736,Oestrus,123736,7387,Oestridae,Oestroidea,NA,Muscomorpha,Brachycera
