,name,updated_fullname,taxonomy_source,rank_matched,matched,score,ott_id,ncbi_id,name_source,matched_id_in_source,updated_genus,updated_genus_ott_id,ott_accepted_name,ott_version,higher_source,domain,kingdom,phylum,subphylum,class,subclass,infraclass,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,seqname,cohort,section
31,Oplodontha,Oplodontha,OTT,genus,Oplodontha,100,241919,446504,OTT,241919,Oplodontha,241919,Oplodontha,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Stratiomyomorpha,,Stratiomyidae,Stratiomyinae,Stratiomyini,,Oplodontha_446504,Holometabola,
32,Ocyptamus,Ocyptamus,OTT,genus,Ocyptamus,100,911867,369855,OTT,911867,Ocyptamus,911867,Ocyptamus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Syrphini,,Ocyptamus_369855,Holometabola,Aschiza
33,Lasiomma,Lasiomma,OTT,genus,Lasiomma,100,557406,95464,OTT,557406,Lasiomma,557406,Lasiomma,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Muscoidea,Anthomyiidae,Anthomyiinae,,,Lasiomma_95464,Holometabola,Schizophora
34,Simulium,Simulium,OTT,genus,Simulium,100,20678,7191,OTT,20678,Simulium,20678,Simulium,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Culicomorpha,Chironomoidea,Simuliidae,Simuliinae,Simuliini,,Simulium_7191,Holometabola,
35,Coenomyia,Coenomyia,OTT,genus,Coenomyia,100,536484,124305,OTT,536484,Coenomyia,536484,Coenomyia,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Xylophagomorpha,,Xylophagaidae,Coenomyiinae,,,Coenomyia_124305,Holometabola,
36,Corynoptera,Corynoptera,OTT,genus,Corynoptera,100,175518,1260849,OTT,175518,Corynoptera,175518,Corynoptera,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,,,,Corynoptera_1260849,Holometabola,
37,Opomyza,Opomyza,OTT,genus,Opomyza,100,365223,716643,OTT,365223,Opomyza,365223,Opomyza,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Opomyzoidea,Opomyzidae,,,,Opomyza_716643,Holometabola,Schizophora
38,Temnostoma,Temnostoma,OTT,genus,Temnostoma,100,960634,226164,OTT,960634,Temnostoma,960634,Temnostoma,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Eristalinae,Xylotini,,Temnostoma_226164,Holometabola,Aschiza
39,Tricyphona,Tricyphona,OTT,genus,Tricyphona,100,328566,700863,OTT,328566,Tricyphona,328566,Tricyphona,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Tipulomorpha,Tipuloidea,Pediciidae,Pediciinae,,,Tricyphona_700863,Holometabola,
40,Cyrtophleba,Cyrtophleba,OTT,genus,Cyrtophleba,100,552983,991141,OTT,552983,Cyrtophleba,552983,Cyrtophleba,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Tachinidae,Dexiinae,Voriini,,Cyrtophleba_991141,Holometabola,Schizophora
41,Hypocera,Hypocera,OTT,genus,Hypocera,100,669155,940227,OTT,669155,Hypocera,669155,Hypocera,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Platypezoidea,Phoridae,Hypocerinae,,,Hypocera_940227,Holometabola,Aschiza
42,Melanophora,Melanophora,OTT,genus,Melanophora,100,4369535,1606787,OTT,4369535,Melanophora,4369535,Melanophora,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Rhinophoridae,,,,Melanophora_1606787,Holometabola,Schizophora
43,Penicillidia,Penicillidia,OTT,genus,Penicillidia,100,166505,81721,OTT,166505,Penicillidia,166505,Penicillidia,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Hippoboscoidea,Nycteribiidae,Nycteribiinae,,,Penicillidia_81721,Holometabola,Schizophora
44,Zabrachia,Zabrachia,OTT,genus,Zabrachia,100,4447787,1891525,OTT,4447787,Zabrachia,4447787,Zabrachia,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Stratiomyomorpha,,Stratiomyidae,Pachygasterinae,,,Zabrachia_1891525,Holometabola,
