,name,updated_fullname,taxonomy_source,rank_matched,matched,score,ott_id,ncbi_id,name_source,matched_id_in_source,updated_genus,updated_genus_ott_id,ott_accepted_name,ott_version,higher_source,domain,kingdom,phylum,subphylum,class,subclass,infraclass,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,seqname,cohort,section
55,Scaeva,Scaeva,OTT,genus,Scaeva,100,1070427,219538,OTT,1070427,Scaeva,1070427,Scaeva,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Syrphini,,Scaeva_219538,Holometabola,Aschiza
56,Psacadina,Psacadina,OTT,genus,Psacadina,100,467914,1096078,OTT,467914,Psacadina,467914,Psacadina,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Sciomyzoidea,Sciomyzidae,,,,Psacadina_1096078,Holometabola,Schizophora
57,Gasterophilus,Gasterophilus,OTT,genus,Gasterophilus,100,88110,84524,OTT,88110,Gasterophilus,88110,Gasterophilus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Oestridae,Gasterophilinae,,,Gasterophilus_84524,Holometabola,Schizophora
58,Oedoparena,Oedoparena,OTT,genus,Oedoparena,100,1053088,1262316,OTT,1053088,Oedoparena,1053088,Oedoparena,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Sciomyzoidea,Dryomyzidae,,,,Oedoparena_1262316,Holometabola,Schizophora
59,Glutops,Glutops,OTT,genus,Glutops,100,1039054,124309,OTT,1039054,Glutops,1039054,Glutops,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Tabanomorpha,Tabanoidea,Pelecorhynchidae,,,,Glutops_124309,Holometabola,
60,Mintho,Mintho,OTT,genus,Mintho,100,4386609,1918277,OTT,4386609,Mintho,4386609,Mintho,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Tachinidae,Tachininae,Minthoini,,Mintho_1918277,Holometabola,Schizophora
61,Winnertzia,Winnertzia,OTT,genus,Winnertzia,100,4488407,2338641,OTT,4488407,Winnertzia,4488407,Winnertzia,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Cecidomyiidae,Winnertziinae,,,Winnertzia_2338641,Holometabola,
62,Berkshiria,Berkshiria,OTT,genus,Berkshiria,100,4448548,2061012,OTT,4448548,Berkshiria,4448548,Berkshiria,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Stratiomyomorpha,,Stratiomyidae,Pachygasterinae,,,Berkshiria_2061012,Holometabola,
63,Esenbeckia,Esenbeckia,OTT,genus,Esenbeckia,100,932511,124297,OTT,932511,Esenbeckia,932511,Esenbeckia,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Tabanomorpha,Tabanoidea,Tabanidae,Pangoniinae,Pangoniini,,Esenbeckia_124297,Holometabola,
64,Hemigymnochaeta,Hemigymnochaeta,OTT,genus,Hemigymnochaeta,100,696528,1240433,OTT,696528,Hemigymnochaeta,696528,Hemigymnochaeta,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Calliphoridae,Auchmeromyiinae,,,Hemigymnochaeta_1240433,Holometabola,Schizophora
65,Syrphus,Syrphus,OTT,genus,Syrphus,100,910488,224255,OTT,910488,Syrphus,910488,Syrphus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Syrphini,,Syrphus_224255,Holometabola,Aschiza
66,Phryxe,Phryxe,OTT,genus,Phryxe,100,251144,569079,OTT,251144,Phryxe,251144,Phryxe,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Tachinidae,Exoristinae,Eryciini,,Phryxe_569079,Holometabola,Schizophora
67,Euryomma,Euryomma,OTT,genus,Euryomma,100,4369311,1650677,OTT,4369311,Euryomma,4369311,Euryomma,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Muscoidea,Fanniidae,,,,Euryomma_1650677,Holometabola,Schizophora
68,Blaesoxipha,Blaesoxipha,OTT,genus,Blaesoxipha,100,890840,128953,OTT,890840,Blaesoxipha,890840,Blaesoxipha,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,Sarcophaginae,,,Blaesoxipha_128953,Holometabola,Schizophora
69,Sciara,Sciara,OTT,genus,Sciara,100,90832,82677,OTT,90832,Sciara,90832,Sciara,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,,,,Sciara_82677,Holometabola,
70,Lasioptera,Lasioptera,OTT,genus,Lasioptera,100,234144,201413,OTT,234144,Lasioptera,234144,Lasioptera,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Cecidomyiidae,Cecidomyiinae,Lasiopterini,,Lasioptera_201413,Holometabola,
