tip_name,name,updated_fullname,taxonomy_source,rank_matched,matched,score,ott_id,ncbi_id,name_source,matched_id_in_source,updated_genus,updated_genus_ott_id,updated_genus_ncbi_id,updated_species,updated_species_ott_id,updated_species_ncbi_id,ott_accepted_name,ott_version,higher_source,domain,kingdom,phylum,subphylum,class,subclass,cohort,infraclass,superorder,order,suborder,infraorder,section,superfamily,family,subfamily,tribe,subtribe,species group,subgenus,species subgroup,notes
Chrysotus_sp_Pollet_0305_Dolichopodidae_E,Chrysotus,Chrysotus,OTT,genus,Chrysotus,100,915813,377522,OTT,915813,Chrysotus,915813,,,,,Chrysotus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Diaphorinae,,,,,,
Chrysotus_laesus_Dolichopodidae_E,Chrysotus laesus,Chrysotus laesus,OTT,species,Chrysotus laesus,100,966513,377546,OTT,966513,Chrysotus,915813,377522,laesus,966513,377546,Chrysotus laesus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Diaphorinae,,,,,,
Chrysotus_suavis_Dolichopodidae_E,Chrysotus suavis,Chrysotus suavis,OTT,species,Chrysotus suavis,100,304266,377549,OTT,304266,Chrysotus,915813,377522,suavis,304266,377549,Chrysotus suavis,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Diaphorinae,,,,,,
Chrysotus_blepharosceles_Dolichopodidae_E,Chrysotus blepharosceles,Chrysotus blepharosceles,OTT,species,Chrysotus blepharosceles,100,966504,377542,OTT,966504,Chrysotus,915813,377522,blepharosceles,966504,377542,Chrysotus blepharosceles,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Diaphorinae,,,,,,
Chrysotus_gramineus_Dolichopodidae_E,Chrysotus gramineus,Chrysotus gramineus,OTT,species,Chrysotus gramineus,100,966510,377545,OTT,966510,Chrysotus,915813,377522,gramineus,966510,377545,Chrysotus gramineus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Diaphorinae,,,,,,
Chrysotus_neglectus_Dolichopodidae_E,Chrysotus neglectus,Chrysotus neglectus,OTT,species,Chrysotus neglectus,100,966515,377547,OTT,966515,Chrysotus,915813,377522,neglectus,966515,377547,Chrysotus neglectus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Diaphorinae,,,,,,
Chrysotus_femoratus_Dolichopodidae_E,Chrysotus femoratus,Chrysotus femoratus,OTT,species,Chrysotus femoratus,100,966508,377544,OTT,966508,Chrysotus,915813,377522,femoratus,966508,377544,Chrysotus femoratus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Diaphorinae,,,,,,
Chrysotus_pulchellus_Dolichopodidae_E,Chrysotus pulchellus,Chrysotus pulchellus,OTT,species,Chrysotus pulchellus,100,966517,377548,OTT,966517,Chrysotus,915813,377522,pulchellus,966517,377548,Chrysotus pulchellus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Diaphorinae,,,,,,
Chrysotus_cilipes_Dolichopodidae_E,Chrysotus cilipes,Chrysotus cilipes,OTT,species,Chrysotus cilipes,100,304260,377543,OTT,304260,Chrysotus,915813,377522,cilipes,304260,377543,Chrysotus cilipes,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Diaphorinae,,,,,,
Chrysotus_miripalpus_Dolichopodidae_E,Chrysotus miripalpus,Chrysotus miripalpus,OTT,species,Chrysotus miripalpus,100,878166,1003922,OTT,878166,Chrysotus,915813,377522,miripalpus,878166,1003922,Chrysotus miripalpus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Diaphorinae,,,,,,
Chrysotus_sp_SNK_2009_Dolichopodidae_E,Chrysotus,Chrysotus,OTT,,Chrysotus,100,915813,377522,OTT,915813,,915813,,,,,Chrysotus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Diaphorinae,,,,,,
Chrysotus_sp_Pollet_0302_Dolichopodidae_E,Chrysotus,Chrysotus,OTT,,Chrysotus,100,915813,377522,OTT,915813,,915813,,,,,Chrysotus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Diaphorinae,,,,,,
Phacaspis_mitis_Dolichopodidae_E,Phacaspis mitis,Phacaspis mitis,OTT,species,Phacaspis mitis,100,1074110,626635,OTT,1074110,Phacaspis,1074112,626634,mitis,1074110,626635,Phacaspis mitis,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Kowmunginae,,,,,,
