Unnamed: 0,name,updated_fullname,taxonomy_source,rank_matched,matched,score,ott_id,ncbi_id,name_source,matched_id_in_source,updated_genus,updated_genus_ott_id,ott_accepted_name,ott_version,higher_source,domain,kingdom,phylum,subphylum,class,subclass,infraclass,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,seqname,section,cohort
89,Maruina,Maruina,OTT,genus,Maruina,100,776582,1144738,OTT,776582,Maruina,776582.0,Maruina,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Psychodomorpha,Psychodoidea,Psychodidae,Psychodinae,,,Maruina_1144738,,Holometabola
90,Astomella,Astomella,OTT,genus,Astomella,100,287591,210239,OTT,287591,Astomella,287591.0,Astomella,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Nemestrinoidea,Acroceridae,,,,Astomella_210239,,Holometabola
91,Mydas,Mydas,OTT,genus,Mydas,100,356516,186100,OTT,356516,Mydas,356516.0,Mydas,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,Mydidae,Mydinae,,,Mydas_186100,,Holometabola
92,Rhagio,Rhagio,OTT,genus,Rhagio,100,588066,124327,OTT,588066,Rhagio,588066.0,Rhagio,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Tabanomorpha,Tabanoidea,Rhagionidae,,,,Rhagio_124327,,Holometabola
93,Hippelates,Hippelates,OTT,genus,Hippelates,100,4412733,540866,OTT,4412733,Hippelates,4412733.0,Hippelates,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Carnoidea,Chloropidae,Oscinellinae,,,Hippelates_540866,Schizophora,Holometabola
95,Melanagromyza,Melanagromyza,OTT,genus,Melanagromyza,100,230912,286470,OTT,230912,Melanagromyza,230912.0,Melanagromyza,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Opomyzoidea,Agromyzidae,Agromyzinae,,,Melanagromyza_286470,Schizophora,Holometabola
96,Axymyia,Axymyia,OTT,genus,Axymyia,100,892211,560715,OTT,892211,Axymyia,892211.0,Axymyia,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Axymyiomorpha,,Axymyiidae,,,,Axymyia_560715,,Holometabola
97,Dioctria,Dioctria,OTT,genus,Dioctria,100,466913,468720,OTT,466913,Dioctria,466913.0,Dioctria,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,Asilidae,Dioctriinae,,,Dioctria_468720,,Holometabola
98,Sarconesia,Sarconesia,OTT,genus,Sarconesia,100,782301,670650,OTT,782301,Sarconesia,782301.0,Sarconesia,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Calliphoridae,Toxotarsinae,,,Sarconesia_670650,Schizophora,Holometabola
99,Piceacecis,Piceacecis,OTT,genus,Piceacecis,100,7285287,2597495,OTT,7285287,Piceacecis,7285287.0,Piceacecis,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Cecidomyiidae,Cecidomyiinae,,,Piceacecis_2597495,,Holometabola
